time,ir,red,x,y,z
2018-07-19-14-40-20-607647,22409,65087,24,67,1244
2018-07-19-14-40-20-622961,256,0,19,65,1241
2018-07-19-14-40-20-654585,53508,0,24,67,1232
2018-07-19-14-40-20-685806,31981,65087,24,67,1240
2018-07-19-14-40-20-701431,5888,0,24,70,1231
2018-07-19-14-40-20-732290,1,5,17,71,1233
2018-07-19-14-40-20-748287,0,0,20,71,1231
2018-07-19-14-40-20-779418,3,0,28,70,1240
2018-07-19-14-40-20-810435,0,0,20,71,1239
2018-07-19-14-40-20-826007,0,1,23,67,1236
2018-07-19-14-40-20-857521,0,0,20,70,1246
2018-07-19-14-40-20-872907,0,0,23,71,1241
2018-07-19-14-40-20-904477,0,0,22,65,1236
2018-07-19-14-40-20-935579,0,2,24,71,1233
2018-07-19-14-40-20-966868,0,0,22,70,1233
2018-07-19-14-40-20-982659,0,0,19,71,1240
2018-07-19-14-40-21-013468,0,0,19,71,1238
2018-07-19-14-40-21-029112,1,0,25,67,1233
2018-07-19-14-40-21-060329,3,0,24,70,1241
2018-07-19-14-40-21-091998,0,0,24,67,1235
2018-07-19-14-40-21-107185,0,0,25,72,1231
2018-07-19-14-40-21-139047,256,0,24,70,1233
2018-07-19-14-40-21-170158,52996,0,22,71,1233
2018-07-19-14-40-21-185323,31981,65087,22,67,1233
2018-07-19-14-40-21-216533,6144,0,24,73,1235
2018-07-19-14-40-21-232703,0,0,24,67,1239
2018-07-19-14-40-21-263786,0,0,24,71,1233
2018-07-19-14-40-21-294881,0,0,24,67,1235
2018-07-19-14-40-21-310278,0,0,24,71,1236
2018-07-19-14-40-21-341504,0,0,24,73,1231
2018-07-19-14-40-21-372956,0,1,24,64,1239
2018-07-19-14-40-21-388590,0,0,28,65,1241
2018-07-19-14-40-21-419914,0,0,28,71,1235
2018-07-19-14-40-21-451217,0,0,22,71,1231
2018-07-19-14-40-21-482102,0,0,24,67,1235
2018-07-19-14-40-21-513338,0,0,24,71,1239
2018-07-19-14-40-21-528959,0,0,22,71,1239
2018-07-19-14-40-21-560200,0,0,28,71,1239
2018-07-19-14-40-21-575823,0,0,17,71,1244
2018-07-19-14-40-21-607064,2,0,20,71,1235
2018-07-19-14-40-21-622687,0,0,22,70,1235
2018-07-19-14-40-21-653927,54020,0,22,71,1230
2018-07-19-14-40-21-669550,31981,65087,22,68,1238
2018-07-19-14-40-21-700813,5632,0,27,71,1230
2018-07-19-14-40-21-716415,0,3,24,71,1239
2018-07-19-14-40-21-747681,0,0,28,71,1241
2018-07-19-14-40-21-763302,0,0,24,67,1233
2018-07-19-14-40-21-778899,0,0,27,63,1233
2018-07-19-14-40-21-810142,0,0,25,71,1231
2018-07-19-14-40-21-841387,0,0,23,71,1240
2018-07-19-14-40-21-981989,0,0,24,70,1239
2018-07-19-14-40-22-013218,0,0,22,71,1238
2018-07-19-14-40-22-044460,2,0,24,71,1238
2018-07-19-14-40-22-075818,0,0,22,71,1238
2018-07-19-14-40-22-091375,1,0,24,70,1236
2018-07-19-14-40-22-122610,0,0,19,70,1239
2018-07-19-14-40-22-138213,0,0,25,71,1235
2018-07-19-14-40-22-185055,0,0,22,65,1231
2018-07-19-14-40-22-200717,0,0,20,71,1232
2018-07-19-14-40-22-216319,2,0,25,67,1236
2018-07-19-14-40-22-247539,22409,65087,24,71,1233
2018-07-19-14-40-22-263159,256,0,24,71,1233
2018-07-19-14-40-22-294401,54276,0,24,64,1230
2018-07-19-14-40-22-325645,31981,65087,24,63,1231
2018-07-19-14-40-22-341267,6144,0,24,67,1238
2018-07-19-14-40-22-372508,0,0,23,71,1244
2018-07-19-14-40-22-388154,0,0,23,68,1239
2018-07-19-14-40-22-403752,0,2,24,75,1235
2018-07-19-14-40-22-435032,0,0,24,67,1232
2018-07-19-14-40-22-450627,0,0,22,65,1235
2018-07-19-14-40-22-481896,0,0,25,71,1238
2018-07-19-14-40-22-513099,0,0,24,70,1233
2018-07-19-14-40-22-528721,0,0,24,67,1235
2018-07-19-14-40-22-575587,0,0,22,65,1235
2018-07-19-14-40-22-591231,0,2,23,68,1233
2018-07-19-14-40-22-622449,0,0,25,67,1240
2018-07-19-14-40-22-653718,0,1,24,70,1230
2018-07-19-14-40-22-669338,0,1,22,71,1240
2018-07-19-14-40-22-700556,0,0,24,65,1235
2018-07-19-14-40-22-716176,0,0,22,67,1233
2018-07-19-14-40-22-747445,0,2,24,71,1235
2018-07-19-14-40-22-778665,256,0,23,67,1239
2018-07-19-14-40-22-794316,54020,0,24,67,1231
2018-07-19-14-40-22-825527,31981,65087,22,70,1235
2018-07-19-14-40-22-841177,5888,0,24,67,1231
2018-07-19-14-40-22-856793,0,0,24,71,1233
2018-07-19-14-40-22-888013,0,0,24,70,1238
2018-07-19-14-40-22-919499,0,0,23,72,1235
2018-07-19-14-40-22-935136,0,0,24,70,1241
2018-07-19-14-40-22-966359,0,0,19,71,1238
2018-07-19-14-40-22-997368,0,2,23,67,1231
2018-07-19-14-40-23-013305,0,0,24,67,1235
2018-07-19-14-40-23-044287,0,0,24,64,1235
2018-07-19-14-40-23-075926,0,0,24,71,1235
2018-07-19-14-40-23-106984,0,0,22,68,1231
2018-07-19-14-40-23-137972,0,0,24,71,1232
2018-07-19-14-40-23-154026,0,2,24,71,1238
2018-07-19-14-40-23-184818,0,0,23,71,1232
2018-07-19-14-40-23-216062,0,0,24,71,1232
2018-07-19-14-40-23-232020,0,0,28,67,1238
2018-07-19-14-40-23-247645,1,2,24,72,1240
2018-07-19-14-40-23-278570,22409,65087,24,67,1238
2018-07-19-14-40-23-309792,256,0,22,72,1238
2018-07-19-14-40-23-325937,55300,0,23,71,1231
2018-07-19-14-40-23-357027,31981,65087,23,70,1232
2018-07-19-14-40-23-372666,6144,0,19,67,1236
2018-07-19-14-40-23-403516,0,0,24,70,1240
2018-07-19-14-40-23-419588,0,0,24,67,1238
