time,ir,red,x,y,z
2018-07-19-14-40-16-901770,0,3,20,72,1235
2018-07-19-14-40-16-917653,0,1,24,67,1244
2018-07-19-14-40-16-949120,0,0,23,71,1238
2018-07-19-14-40-16-964713,0,0,24,70,1228
2018-07-19-14-40-16-995793,0,1,23,64,1236
2018-07-19-14-40-17-011504,0,0,23,68,1235
2018-07-19-14-40-17-042371,0,2,24,71,1231
2018-07-19-14-40-17-074077,0,0,19,71,1230
2018-07-19-14-40-17-089785,256,0,22,63,1231
2018-07-19-14-40-17-120796,52740,0,23,71,1235
2018-07-19-14-40-17-136560,31981,65087,23,71,1231
2018-07-19-14-40-17-167339,6144,0,24,67,1231
2018-07-19-14-40-17-183372,1,2,27,67,1238
2018-07-19-14-40-17-214592,0,0,23,63,1243
2018-07-19-14-40-17-230264,0,0,23,70,1232
2018-07-19-14-40-17-261450,2,0,22,71,1228
2018-07-19-14-40-17-292567,0,0,23,71,1235
2018-07-19-14-40-17-308418,0,0,20,68,1232
2018-07-19-14-40-17-339172,1,0,20,72,1231
2018-07-19-14-40-17-355188,0,0,24,67,1235
2018-07-19-14-40-17-432911,0,2,24,67,1240
2018-07-19-14-40-17-464139,0,0,24,71,1236
2018-07-19-14-40-17-480172,0,0,27,65,1235
2018-07-19-14-40-17-511630,0,0,22,70,1231
2018-07-19-14-40-17-526665,1,2,24,70,1248
2018-07-19-14-40-17-562088,0,4,25,68,1236
2018-07-19-14-40-17-586676,0,0,22,67,1235
2018-07-19-14-40-17-608010,0,0,24,63,1233
2018-07-19-14-40-17-639253,53508,0,22,73,1239
2018-07-19-14-40-17-655143,31981,65087,19,68,1235
2018-07-19-14-40-17-686570,5632,0,23,71,1235
2018-07-19-14-40-17-717362,0,3,23,67,1238
2018-07-19-14-40-17-733533,0,0,23,70,1235
2018-07-19-14-40-17-764489,0,0,23,71,1231
2018-07-19-14-40-17-779845,0,0,23,71,1232
2018-07-19-14-40-17-811088,0,0,23,71,1233
2018-07-19-14-40-17-826940,0,5,24,71,1240
2018-07-19-14-40-17-858335,0,1,23,71,1236
2018-07-19-14-40-17-873940,0,0,24,71,1235
2018-07-19-14-40-17-920439,0,0,24,70,1239
2018-07-19-14-40-17-952031,0,0,23,67,1233
2018-07-19-14-40-17-967611,0,0,25,67,1231
2018-07-19-14-40-18-014168,0,0,24,71,1235
2018-07-19-14-40-18-030289,0,0,23,71,1233
2018-07-19-14-40-18-045779,0,0,20,70,1235
2018-07-19-14-40-18-076687,0,0,24,67,1231
2018-07-19-14-40-18-108324,0,0,24,73,1230
2018-07-19-14-40-18-124029,22409,65087,24,67,1239
2018-07-19-14-40-18-155086,256,0,19,65,1235
2018-07-19-14-40-18-170780,52740,0,28,72,1235
2018-07-19-14-40-18-201969,31981,65087,22,68,1233
2018-07-19-14-40-18-217615,6144,0,19,67,1235
2018-07-19-14-40-18-248524,0,0,25,71,1233
2018-07-19-14-40-18-264105,0,2,28,70,1236
2018-07-19-14-40-18-295390,0,0,24,63,1231
2018-07-19-14-40-18-310967,0,0,28,71,1239
2018-07-19-14-40-18-342212,0,1,19,71,1233
2018-07-19-14-40-18-357837,0,0,24,70,1235
2018-07-19-14-40-18-389116,1,0,24,70,1235
2018-07-19-14-40-18-404939,2,0,23,71,1235
2018-07-19-14-40-18-436519,0,1,25,68,1235
2018-07-19-14-40-18-467758,0,0,24,67,1231
2018-07-19-14-40-18-498425,0,0,19,75,1239
2018-07-19-14-40-18-514045,0,0,22,73,1240
2018-07-19-14-40-18-545287,0,0,24,68,1233
2018-07-19-14-40-18-560908,1,0,23,70,1233
2018-07-19-14-40-18-592151,1,0,27,67,1238
2018-07-19-14-40-18-607797,0,0,27,67,1231
2018-07-19-14-40-18-639016,256,0,23,70,1239
2018-07-19-14-40-18-654639,52996,0,24,71,1235
2018-07-19-14-40-18-685879,31981,65087,22,71,1230
2018-07-19-14-40-18-701525,5888,0,22,71,1233
2018-07-19-14-40-18-717121,0,0,24,67,1235
2018-07-19-14-40-18-748390,0,0,24,67,1236
2018-07-19-14-40-18-764015,0,4,23,70,1232
2018-07-19-14-40-18-795228,0,0,24,70,1235
2018-07-19-14-40-18-826471,0,0,23,70,1238
2018-07-19-14-40-18-842121,0,0,24,67,1238
2018-07-19-14-40-18-857726,0,0,17,67,1233
2018-07-19-14-40-18-888958,0,0,23,70,1244
2018-07-19-14-40-18-951442,0,2,20,72,1236
2018-07-19-14-40-18-982684,0,1,23,70,1238
2018-07-19-14-40-19-013927,0,0,24,67,1235
2018-07-19-14-40-19-029573,0,0,24,67,1231
2018-07-19-14-40-19-060791,0,0,24,67,1235
2018-07-19-14-40-19-076413,0,0,24,67,1233
2018-07-19-14-40-19-123278,0,0,25,67,1238
2018-07-19-14-40-19-138940,1,0,24,72,1235
2018-07-19-14-40-19-170140,22409,65087,28,67,1241
2018-07-19-14-40-19-185761,256,0,19,68,1231
2018-07-19-14-40-19-217016,54020,0,22,68,1240
2018-07-19-14-40-19-232625,31981,65087,25,65,1236
2018-07-19-14-40-19-263869,7168,0,23,70,1240
2018-07-19-14-40-19-279490,0,0,22,71,1231
2018-07-19-14-40-19-310733,0,0,24,70,1235
2018-07-19-14-40-19-326378,0,0,23,65,1233
2018-07-19-14-40-19-357597,0,0,19,71,1240
2018-07-19-14-40-19-373246,1,0,17,70,1239
2018-07-19-14-40-19-404461,0,0,24,67,1240
2018-07-19-14-40-19-420106,0,0,24,64,1231
2018-07-19-14-40-19-451323,0,0,19,72,1231
2018-07-19-14-40-19-482565,3,0,25,67,1238
2018-07-19-14-40-19-513809,0,0,20,65,1232
2018-07-19-14-40-19-529430,0,0,22,70,1239
2018-07-19-14-40-19-560672,0,0,23,71,1235
2018-07-19-14-40-19-576294,0,0,24,63,1248
2018-07-19-14-40-19-607537,0,0,24,71,1240
2018-07-19-14-40-19-623188,0,0,19,67,1238
2018-07-19-14-40-19-638804,0,0,24,67,1235
2018-07-19-14-40-19-670021,54020,0,24,71,1228
2018-07-19-14-40-19-701264,31981,65087,24,71,1231
2018-07-19-14-40-19-716887,6144,0,24,71,1232
2018-07-19-14-40-19-732508,0,0,24,68,1236
2018-07-19-14-40-19-779371,0,0,24,71,1235
2018-07-19-14-40-19-795022,0,0,23,70,1231
2018-07-19-14-40-19-826236,0,0,23,67,1238
2018-07-19-14-40-19-841881,0,0,22,71,1230
2018-07-19-14-40-19-857478,0,0,24,68,1238
2018-07-19-14-40-19-888737,0,0,24,67,1233
2018-07-19-14-40-19-920208,0,1,24,71,1230
2018-07-19-14-40-19-998303,0,0,24,67,1235
2018-07-19-14-40-20-014101,2,0,24,67,1235
2018-07-19-14-40-20-045140,1,0,23,67,1232
2018-07-19-14-40-20-076214,0,2,24,71,1232
2018-07-19-14-40-20-123480,0,0,23,65,1235
2018-07-19-14-40-20-138697,0,0,24,70,1238
2018-07-19-14-40-20-170355,0,0,23,65,1235
2018-07-19-14-40-20-185526,0,0,22,67,1236
2018-07-19-14-40-20-216769,0,0,24,71,1231
2018-07-19-14-40-20-232805,0,0,28,67,1238
2018-07-19-14-40-20-263820,0,0,23,67,1231
2018-07-19-14-40-20-294912,0,0,23,67,1230
2018-07-19-14-40-20-326161,0,0,23,68,1244
2018-07-19-14-40-20-357362,0,0,28,71,1238
2018-07-19-14-40-20-388967,0,0,24,67,1231
2018-07-19-14-40-20-404733,0,0,24,64,1236
2018-07-19-14-40-20-435762,0,0,25,71,1233
2018-07-19-14-40-20-467114,0,0,19,72,1236
2018-07-19-14-40-20-498237,2,0,24,67,1238
2018-07-19-14-40-20-529487,0,0,24,68,1233
2018-07-19-14-40-20-545091,0,0,23,70,1240
2018-07-19-14-40-20-576058,1792,0,28,67,1230
