time,ir,red,x,y,z
2018-07-19-14-36-18-676634,3,2,-9,80,1235
2018-07-19-14-36-18-692279,0,0,-8,83,1235
2018-07-19-14-36-18-707875,0,0,-5,79,1231
2018-07-19-14-36-18-739120,0,0,-10,79,1235
2018-07-19-14-36-18-770363,0,0,-8,87,1235
2018-07-19-14-36-18-786014,2,0,-8,87,1233
2018-07-19-14-36-18-817225,0,0,-10,86,1239
2018-07-19-14-36-18-832848,0,0,-9,83,1240
2018-07-19-14-36-18-864089,0,0,-8,83,1235
2018-07-19-14-36-18-879711,0,0,-10,88,1231
2018-07-19-14-36-18-910955,0,0,-7,81,1239
2018-07-19-14-36-18-926599,0,0,-9,84,1239
2018-07-19-14-36-18-957842,27885,65087,-9,78,1240
2018-07-19-14-36-18-989062,63232,0,-8,83,1235
2018-07-19-14-36-19-004883,0,0,-8,88,1240
2018-07-19-14-36-19-036170,0,0,-7,83,1244
2018-07-19-14-36-19-051805,0,1,-8,86,1239
2018-07-19-14-36-19-083203,0,0,-8,79,1238
2018-07-19-14-36-19-098939,0,0,-8,81,1238
2018-07-19-14-36-19-129831,0,0,-12,83,1243
2018-07-19-14-36-19-145732,0,0,-10,87,1231
2018-07-19-14-36-19-176791,0,0,-9,86,1233
2018-07-19-14-36-19-207764,0,1,-8,80,1241
2018-07-19-14-36-19-239002,2,0,-8,81,1231
2018-07-19-14-36-19-254621,0,0,-8,83,1239
2018-07-19-14-36-19-286296,0,2,-10,83,1233
2018-07-19-14-36-19-317338,0,0,-8,86,1232
2018-07-19-14-36-19-332973,0,0,-9,79,1240
2018-07-19-14-36-19-364009,0,0,-9,80,1235
2018-07-19-14-36-19-395572,0,0,-8,84,1238
2018-07-19-14-36-19-426682,1792,0,-8,83,1232
2018-07-19-14-36-19-442455,22409,65087,-10,87,1240
2018-07-19-14-36-19-473326,256,0,-8,83,1235
2018-07-19-14-36-19-504567,54788,0,-8,87,1238
2018-07-19-14-36-19-520746,27885,65087,-8,81,1240
2018-07-19-14-36-19-551808,63488,0,-7,80,1233
2018-07-19-14-36-19-567459,0,2,-13,81,1240
2018-07-19-14-36-19-598848,0,0,-8,86,1235
2018-07-19-14-36-19-629817,0,0,-8,83,1239
2018-07-19-14-36-19-661081,0,1,-10,80,1232
2018-07-19-14-36-19-676769,0,0,-8,83,1235
2018-07-19-14-36-19-707935,0,0,-8,79,1241
2018-07-19-14-36-19-723482,0,0,-8,88,1235
2018-07-19-14-36-19-754509,0,0,-8,83,1238
2018-07-19-14-36-19-785793,0,0,-8,81,1244
2018-07-19-14-36-19-817029,0,1,-10,87,1238
2018-07-19-14-36-19-848261,0,0,-9,83,1233
2018-07-19-14-36-19-863854,0,0,-8,86,1235
2018-07-19-14-36-19-895096,0,0,-9,81,1236
2018-07-19-14-36-19-926732,0,0,-8,83,1233
2018-07-19-14-36-19-942346,0,0,-10,87,1231
2018-07-19-14-36-19-973607,52996,0,-8,81,1239
2018-07-19-14-36-19-988985,27885,65087,-13,83,1239
2018-07-19-14-36-20-020524,63488,0,-8,83,1233
2018-07-19-14-36-20-051354,0,0,-9,87,1240
2018-07-19-14-36-20-067324,1,0,-13,83,1240
2018-07-19-14-36-20-098209,0,0,-4,86,1236
2018-07-19-14-36-20-114240,1,0,-8,86,1240
2018-07-19-14-36-20-145579,0,3,-10,83,1231
2018-07-19-14-36-20-176508,0,0,-8,83,1239
2018-07-19-14-36-20-191916,0,0,-9,86,1230
2018-07-19-14-36-20-223165,4,0,-7,83,1241
2018-07-19-14-36-20-254455,1,3,-10,86,1246
2018-07-19-14-36-20-285629,0,0,-8,86,1235
2018-07-19-14-36-20-317198,0,0,-10,86,1235
2018-07-19-14-36-20-332924,0,0,-8,87,1235
2018-07-19-14-36-20-363886,0,0,-8,80,1241
2018-07-19-14-36-20-379796,0,0,-9,83,1240
2018-07-19-14-36-20-410602,0,0,-7,81,1239
2018-07-19-14-36-20-442117,0,0,-7,80,1239
2018-07-19-14-36-20-457878,256,0,-8,86,1240
2018-07-19-14-36-20-488716,55044,0,-8,80,1240
2018-07-19-14-36-20-520141,27885,65087,-9,83,1238
2018-07-19-14-36-20-551192,63488,0,-4,83,1240
2018-07-19-14-36-20-582435,0,0,-8,84,1238
2018-07-19-14-36-20-598054,0,0,-10,87,1235
2018-07-19-14-36-20-613677,0,1,-10,83,1240
2018-07-19-14-36-20-644918,0,2,-10,79,1239
2018-07-19-14-36-20-676186,0,2,-4,80,1231
2018-07-19-14-36-20-691807,0,0,-5,79,1231
2018-07-19-14-36-20-723054,0,0,-8,87,1240
2018-07-19-14-36-20-738647,0,1,-9,84,1235
2018-07-19-14-36-20-769918,0,0,-12,86,1240
2018-07-19-14-36-20-801131,0,0,-5,79,1239
2018-07-19-14-36-20-816754,0,0,-8,86,1241
2018-07-19-14-36-20-847995,0,0,-9,83,1240
2018-07-19-14-36-20-863641,0,0,-9,79,1240
2018-07-19-14-36-20-894861,0,0,-9,79,1231
2018-07-19-14-36-20-910480,0,0,-8,87,1236
2018-07-19-14-36-20-941725,1,0,-12,81,1240
2018-07-19-14-36-20-972968,256,0,-8,80,1235
2018-07-19-14-36-20-988592,55300,0,-8,81,1235
2018-07-19-14-36-21-019861,27885,65087,-8,87,1238
2018-07-19-14-36-21-035452,63488,0,-10,83,1240
2018-07-19-14-36-21-066696,1,0,-12,86,1244
2018-07-19-14-36-21-097936,0,0,-9,83,1240
2018-07-19-14-36-21-113559,0,0,-8,83,1232
2018-07-19-14-36-21-144892,0,0,-8,84,1235
2018-07-19-14-36-21-176042,0,0,-8,83,1239
2018-07-19-14-36-21-191688,0,0,-8,83,1233
2018-07-19-14-36-21-222909,0,0,-9,83,1231
2018-07-19-14-36-21-238555,0,0,-9,83,1236
2018-07-19-14-36-21-285392,1,0,-9,86,1239
2018-07-19-14-36-21-316637,0,0,-10,81,1240
2018-07-19-14-36-21-332292,0,0,-10,86,1233
2018-07-19-14-36-21-363525,4,0,-8,80,1244
2018-07-19-14-36-21-394744,0,0,-9,81,1241
2018-07-19-14-36-21-441606,0,0,-8,81,1236
2018-07-19-14-36-21-457226,0,0,-8,83,1238
2018-07-19-14-36-21-488470,0,0,-8,80,1233
2018-07-19-14-36-21-504090,0,0,-8,81,1235
2018-07-19-14-36-21-535334,0,0,-8,86,1232
2018-07-19-14-36-21-566575,0,0,-9,83,1240
2018-07-19-14-36-21-582238,0,0,-8,81,1240
2018-07-19-14-36-21-613442,0,0,-8,83,1231
2018-07-19-14-36-21-629086,0,0,-13,81,1240
2018-07-19-14-36-21-660305,0,0,-8,86,1235
2018-07-19-14-36-21-675950,1,0,-9,80,1241
2018-07-19-14-36-21-707169,0,0,7,83,1241
2018-07-19-14-36-21-722807,0,0,-7,87,1235
2018-07-19-14-36-21-754033,62208,0,-13,80,1228
2018-07-19-14-36-21-785304,0,0,-8,79,1231
2018-07-19-14-36-21-800985,0,0,-8,83,1232
2018-07-19-14-36-21-832139,0,0,-5,84,1236
2018-07-19-14-36-21-863380,0,0,-7,83,1233
2018-07-19-14-36-21-879032,0,0,-10,79,1232
2018-07-19-14-36-21-910246,0,1,-8,83,1239
2018-07-19-14-36-21-925867,0,0,-8,83,1233
2018-07-19-14-36-21-957108,0,0,-8,83,1238
2018-07-19-14-36-21-988363,1,1,-8,83,1235
2018-07-19-14-36-22-019680,0,0,-12,88,1231
2018-07-19-14-36-22-035300,0,0,-9,80,1235
2018-07-19-14-36-22-066464,0,0,-4,86,1231
2018-07-19-14-36-22-097709,0,0,-8,83,1236
2018-07-19-14-36-22-113710,1,0,-13,84,1233
2018-07-19-14-36-22-144912,0,0,-8,83,1235
2018-07-19-14-36-22-160423,0,0,-8,83,1236
2018-07-19-14-36-22-191828,22409,65087,-13,83,1238
