time,ir,red,x,y,z
2018-07-19-14-40-10-340821,8,45,22,67,1239
2018-07-19-14-40-10-372064,6,47,24,70,1235
2018-07-19-14-40-10-387687,9,46,19,71,1235
2018-07-19-14-40-10-418970,5,47,24,72,1228
2018-07-19-14-40-10-434593,9,47,24,67,1240
2018-07-19-14-40-10-465792,5,44,24,68,1235
2018-07-19-14-40-10-481425,10,48,28,67,1244
2018-07-19-14-40-10-512655,10,52,19,71,1231
2018-07-19-14-40-10-543928,256,0,24,70,1235
2018-07-19-14-40-10-559550,52996,0,22,72,1239
2018-07-19-14-40-10-590764,31981,65087,28,67,1240
2018-07-19-14-40-10-606415,6144,0,24,67,1241
2018-07-19-14-40-10-637627,6,47,24,71,1238
2018-07-19-14-40-10-653248,4,47,22,67,1238
2018-07-19-14-40-10-684533,9,44,24,71,1235
2018-07-19-14-40-10-715734,10,47,23,71,1232
2018-07-19-14-40-10-731397,8,49,25,71,1236
2018-07-19-14-40-10-762597,8,44,22,70,1233
2018-07-19-14-40-10-793839,9,51,28,67,1235
2018-07-19-14-40-10-825081,10,46,28,72,1240
2018-07-19-14-40-10-856596,10,46,23,71,1241
2018-07-19-14-40-10-887814,15,47,22,71,1239
2018-07-19-14-40-10-919089,13,49,22,72,1233
2018-07-19-14-40-10-934433,13,43,23,67,1231
2018-07-19-14-40-10-965687,9,45,20,67,1238
2018-07-19-14-40-10-981819,13,50,24,71,1236
2018-07-19-14-40-11-013003,9,48,20,65,1235
2018-07-19-14-40-11-044158,5,44,24,67,1238
2018-07-19-14-40-11-075023,22409,65087,24,65,1235
2018-07-19-14-40-11-090658,256,0,24,72,1240
2018-07-19-14-40-11-122333,54788,0,24,63,1235
2018-07-19-14-40-11-138093,31981,65087,24,70,1231
2018-07-19-14-40-11-169083,6144,0,20,71,1227
2018-07-19-14-40-11-184519,13,51,24,67,1239
2018-07-19-14-40-11-215617,10,46,22,71,1239
2018-07-19-14-40-11-231236,6,46,24,68,1240
2018-07-19-14-40-11-262518,11,46,24,75,1240
2018-07-19-14-40-11-278355,11,47,25,67,1231
2018-07-19-14-40-11-309344,10,51,24,67,1240
2018-07-19-14-40-11-340587,3,44,24,67,1231
2018-07-19-14-40-11-356712,8,48,22,67,1235
2018-07-19-14-40-11-387450,7,46,24,71,1241
2018-07-19-14-40-11-403074,11,53,25,73,1233
2018-07-19-14-40-11-434314,5,52,19,73,1239
2018-07-19-14-40-11-449977,9,46,20,67,1233
2018-07-19-14-40-11-481392,7,49,24,65,1232
2018-07-19-14-40-11-497060,9,52,23,67,1240
2018-07-19-14-40-11-528042,3,45,23,68,1230
2018-07-19-14-40-11-543672,11,49,22,71,1240
2018-07-19-14-40-11-575050,55300,0,24,71,1235
2018-07-19-14-40-11-590788,31981,65087,19,71,1232
2018-07-19-14-40-11-621777,6144,0,24,64,1239
2018-07-19-14-40-11-637927,7,45,24,70,1244
2018-07-19-14-40-11-669132,11,47,25,71,1230
2018-07-19-14-40-11-699876,11,45,22,68,1239
2018-07-19-14-40-11-715497,11,48,22,71,1238
2018-07-19-14-40-11-746996,7,47,24,73,1235
2018-07-19-14-40-11-762782,7,50,22,71,1244
2018-07-19-14-40-11-793810,8,48,24,71,1240
2018-07-19-14-40-11-809225,11,50,24,68,1231
2018-07-19-14-40-11-856662,12,46,22,71,1235
2018-07-19-14-40-11-887449,13,52,22,73,1235
2018-07-19-14-40-11-903539,9,46,23,67,1232
2018-07-19-14-40-11-934526,8,48,24,70,1235
2018-07-19-14-40-11-950228,9,46,24,71,1231
2018-07-19-14-40-11-981062,13,46,19,67,1241
2018-07-19-14-40-11-996723,10,46,23,63,1235
2018-07-19-14-40-12-027924,4,51,24,70,1239
2018-07-19-14-40-12-059167,256,0,25,71,1233
2018-07-19-14-40-12-075259,55044,0,24,71,1230
2018-07-19-14-40-12-106030,31981,65087,28,63,1238
2018-07-19-14-40-12-137274,6400,0,27,63,1240
2018-07-19-14-40-12-152895,11,45,23,73,1231
2018-07-19-14-40-12-184135,6,49,25,67,1235
2018-07-19-14-40-12-215378,9,48,24,67,1240
2018-07-19-14-40-12-231008,4,45,24,71,1239
2018-07-19-14-40-12-262326,10,47,23,71,1240
2018-07-19-14-40-12-277906,11,46,20,70,1239
2018-07-19-14-40-12-309153,11,50,24,71,1239
2018-07-19-14-40-12-324771,6,48,15,71,1231
2018-07-19-14-40-12-387623,10,51,24,68,1235
2018-07-19-14-40-12-403362,13,46,19,71,1225
2018-07-19-14-40-12-434077,11,44,25,63,1235
2018-07-19-14-40-12-449737,10,46,27,65,1240
2018-07-19-14-40-12-480940,12,50,19,71,1231
2018-07-19-14-40-12-496592,7,52,24,71,1231
2018-07-19-14-40-12-527804,11,43,28,71,1240
2018-07-19-14-40-12-559077,13,44,20,62,1235
2018-07-19-14-40-12-574668,256,0,24,67,1244
2018-07-19-14-40-12-605911,54020,0,22,70,1240
2018-07-19-14-40-12-621571,31981,65087,24,70,1235
2018-07-19-14-40-12-637154,6144,0,19,63,1235
2018-07-19-14-40-12-668397,8,52,24,71,1231
2018-07-19-14-40-12-699639,14,49,24,67,1231
2018-07-19-14-40-12-715262,7,48,24,71,1239
2018-07-19-14-40-12-746502,10,46,24,67,1233
2018-07-19-14-40-12-762123,7,44,24,71,1241
2018-07-19-14-40-12-793407,5,50,20,71,1223
2018-07-19-14-40-12-808987,13,48,23,70,1239
2018-07-19-14-40-12-840230,10,48,25,73,1239
2018-07-19-14-40-12-887094,9,48,24,67,1233
2018-07-19-14-40-12-902716,5,51,23,68,1239
2018-07-19-14-40-12-933958,7,49,19,70,1241
2018-07-19-14-40-12-949581,10,51,24,64,1231
2018-07-19-14-40-12-980847,9,48,20,73,1240
2018-07-19-14-40-13-012090,4864,0,23,68,1235
2018-07-19-14-40-13-027688,10,51,25,71,1230
2018-07-19-14-40-13-058929,11,51,24,70,1239
2018-07-19-14-40-13-075050,5,46,22,67,1232
2018-07-19-14-40-13-105793,6,53,22,68,1247
2018-07-19-14-40-13-121417,14,46,19,71,1233
2018-07-19-14-40-13-152658,9,48,24,72,1238
2018-07-19-14-40-13-168279,11,49,24,63,1240
2018-07-19-14-40-13-199521,4,49,22,73,1238
2018-07-19-14-40-13-230762,9,46,23,65,1233
2018-07-19-14-40-13-246384,14,47,27,65,1231
2018-07-19-14-40-13-277627,8,48,19,73,1240
2018-07-19-14-40-13-308871,6,46,20,76,1235
2018-07-19-14-40-13-324493,10,50,19,71,1238
2018-07-19-14-40-13-355745,9,50,19,67,1241
2018-07-19-14-40-13-371354,2,47,20,67,1235
2018-07-19-14-40-13-402599,6912,0,27,70,1236
2018-07-19-14-40-13-418221,5,42,17,73,1231
2018-07-19-14-40-13-449463,11,46,28,71,1241
2018-07-19-14-40-13-465112,8,50,22,67,1235
2018-07-19-14-40-13-496325,11,49,23,63,1239
2018-07-19-14-40-13-527567,13,45,23,65,1240
2018-07-19-14-40-13-543193,12,42,25,71,1240
2018-07-19-14-40-13-558811,12,50,24,70,1232
2018-07-19-14-40-13-590055,7,48,23,73,1233
2018-07-19-14-40-13-621296,13,50,24,64,1235
2018-07-19-14-40-13-652540,7,47,27,67,1241
2018-07-19-14-40-13-668162,9,51,22,71,1233
2018-07-19-14-40-13-699404,9,44,28,70,1233
2018-07-19-14-40-13-715026,9,47,23,67,1238
2018-07-19-14-40-13-730670,8,44,23,67,1235
2018-07-19-14-40-13-761890,8,47,19,71,1239
2018-07-19-14-40-13-777508,6,49,22,71,1231
2018-07-19-14-40-13-808752,52996,0,20,71,1235
2018-07-19-14-40-13-839996,31981,65087,27,71,1238
2018-07-19-14-40-13-855627,4864,0,24,65,1244
2018-07-19-14-40-13-886869,12,45,19,71,1231
2018-07-19-14-40-13-918139,3,48,25,67,1235
2018-07-19-14-40-13-933752,9,50,24,71,1228
2018-07-19-14-40-13-965055,5,51,15,71,1239
2018-07-19-14-40-13-980848,11,47,24,70,1232
2018-07-19-14-40-14-011870,8,48,19,67,1233
2018-07-19-14-40-14-027450,11,54,24,70,1233
2018-07-19-14-40-14-043072,5,53,25,70,1240
2018-07-19-14-40-14-089973,7,48,24,71,1233
2018-07-19-14-40-14-121181,13,46,30,67,1241
2018-07-19-14-40-14-137182,6,51,23,72,1233
2018-07-19-14-40-14-168579,8,49,24,67,1230
