time,ir,red,x,y,z
2018-07-19-14-40-14-199289,7,52,24,71,1238
2018-07-19-14-40-14-214909,6,51,24,73,1239
2018-07-19-14-40-14-246149,8,47,24,64,1233
2018-07-19-14-40-14-262030,10,46,24,70,1231
2018-07-19-14-40-14-293013,256,0,24,65,1235
2018-07-19-14-40-14-309159,52996,0,24,70,1240
2018-07-19-14-40-14-340343,31981,65087,24,68,1240
2018-07-19-14-40-14-371455,6144,0,23,64,1238
2018-07-19-14-40-14-387187,11,49,24,67,1238
2018-07-19-14-40-14-417985,8,45,22,70,1235
2018-07-19-14-40-14-433605,7,47,28,65,1240
2018-07-19-14-40-14-465289,12,43,24,70,1235
2018-07-19-14-40-14-480941,7,48,23,67,1235
2018-07-19-14-40-14-512159,4,53,24,67,1241
2018-07-19-14-40-14-542966,8,45,24,71,1238
2018-07-19-14-40-14-558577,11,43,23,70,1236
2018-07-19-14-40-14-589818,7,48,23,71,1230
2018-07-19-14-40-14-621065,10,45,24,71,1233
2018-07-19-14-40-14-636719,15,47,19,64,1235
2018-07-19-14-40-14-667967,13,45,27,71,1238
2018-07-19-14-40-14-699168,7,49,24,67,1231
2018-07-19-14-40-14-714788,5,51,27,70,1233
2018-07-19-14-40-14-730450,7,42,23,71,1230
2018-07-19-14-40-14-761656,6144,0,24,71,1228
2018-07-19-14-40-14-792897,13,48,24,70,1232
2018-07-19-14-40-14-808620,3,52,28,71,1231
2018-07-19-14-40-14-839763,4,47,24,71,1240
2018-07-19-14-40-14-855562,9,47,19,72,1235
2018-07-19-14-40-14-871001,8,44,23,67,1235
2018-07-19-14-40-14-902828,9,46,24,67,1235
2018-07-19-14-40-14-933906,7,49,23,70,1228
2018-07-19-14-40-14-949131,4,52,24,64,1235
2018-07-19-14-40-14-980780,6,50,19,71,1240
2018-07-19-14-40-15-012029,8,41,24,65,1241
2018-07-19-14-40-15-027622,10,53,24,68,1235
2018-07-19-14-40-15-058970,6,45,24,67,1223
2018-07-19-14-40-15-089986,7,52,23,67,1235
2018-07-19-14-40-15-120977,12,52,20,71,1238
2018-07-19-14-40-15-137027,7,46,24,71,1233
2018-07-19-14-40-15-168169,5,48,24,67,1240
2018-07-19-14-40-15-199048,7,44,23,70,1240
2018-07-19-14-40-15-230684,0,0,24,72,1240
2018-07-19-14-40-15-246214,1792,0,24,71,1238
2018-07-19-14-40-15-277196,22409,65087,28,71,1238
2018-07-19-14-40-15-308715,256,0,24,71,1238
2018-07-19-14-40-15-339642,55300,0,23,65,1238
2018-07-19-14-40-15-355578,31981,65087,23,70,1232
2018-07-19-14-40-15-386849,6144,0,24,71,1228
2018-07-19-14-40-15-417981,9,50,24,71,1240
2018-07-19-14-40-15-433687,7,47,22,68,1224
2018-07-19-14-40-15-464646,7,52,24,70,1238
2018-07-19-14-40-15-480744,7,46,25,70,1232
2018-07-19-14-40-15-511487,10,43,24,70,1231
2018-07-19-14-40-15-527096,8,53,27,71,1238
2018-07-19-14-40-15-558340,7,48,22,71,1239
2018-07-19-14-40-15-573959,7,51,24,67,1228
2018-07-19-14-40-15-636446,8,45,23,68,1238
2018-07-19-14-40-15-652099,10,43,24,71,1233
2018-07-19-14-40-15-683333,9,46,24,71,1231
2018-07-19-14-40-15-698959,6,49,23,71,1238
2018-07-19-14-40-15-730172,10,46,19,71,1231
2018-07-19-14-40-15-745795,10,49,22,76,1239
2018-07-19-14-40-15-777036,7,52,24,71,1233
2018-07-19-14-40-15-792684,7,50,24,67,1230
2018-07-19-14-40-15-823900,256,0,24,71,1241
2018-07-19-14-40-15-855143,52740,0,30,67,1235
2018-07-19-14-40-15-870766,31981,65087,22,71,1231
2018-07-19-14-40-15-917628,6144,0,23,70,1240
2018-07-19-14-40-15-933249,7,46,19,71,1233
2018-07-19-14-40-15-964492,6,48,20,67,1244
2018-07-19-14-40-15-980163,6,47,24,67,1240
2018-07-19-14-40-16-011357,10,50,24,67,1233
2018-07-19-14-40-16-026978,6,46,28,67,1241
2018-07-19-14-40-16-058223,8,46,24,71,1233
2018-07-19-14-40-16-073894,12,48,24,70,1238
2018-07-19-14-40-16-105114,8,44,16,70,1231
2018-07-19-14-40-16-136373,11,44,24,65,1238
2018-07-19-14-40-16-167571,7,50,31,65,1231
2018-07-19-14-40-16-183216,5,50,23,76,1235
2018-07-19-14-40-16-214436,11,48,24,71,1235
2018-07-19-14-40-16-245688,7,46,25,67,1233
2018-07-19-14-40-16-276918,7,45,24,70,1239
2018-07-19-14-40-16-292541,8,44,23,71,1231
2018-07-19-14-40-16-308162,11,50,24,71,1231
2018-07-19-14-40-16-339405,256,0,19,71,1228
2018-07-19-14-40-16-355025,52996,0,25,70,1241
2018-07-19-14-40-16-386278,31981,65087,24,64,1228
2018-07-19-14-40-16-417534,6144,0,24,67,1225
2018-07-19-14-40-16-433133,9,49,24,70,1240
2018-07-19-14-40-16-464399,12,48,25,70,1235
2018-07-19-14-40-16-495617,11,48,24,67,1240
2018-07-19-14-40-16-511274,10,50,23,68,1231
2018-07-19-14-40-16-542481,8,50,19,72,1233
2018-07-19-14-40-16-558144,7,48,20,67,1235
2018-07-19-14-40-16-589369,3,51,17,71,1231
2018-07-19-14-40-16-604968,11,48,23,71,1238
2018-07-19-14-40-16-651829,5,47,24,67,1238
