time,ir,red,x,y,z
2018-07-19-14-35-58-651829,7,49,-7,87,1239
2018-07-19-14-35-58-682805,10,44,-8,84,1231
2018-07-19-14-35-58-698425,11,47,-8,87,1238
2018-07-19-14-35-58-729866,9,49,-10,87,1239
2018-07-19-14-35-58-745758,12,49,-9,88,1233
2018-07-19-14-35-58-776814,10,48,-4,80,1240
2018-07-19-14-35-58-808115,8,50,-13,81,1235
2018-07-19-14-35-58-823869,6,48,-9,88,1239
2018-07-19-14-35-58-854936,22409,65087,-10,83,1233
2018-07-19-14-35-58-885927,256,0,-9,81,1235
2018-07-19-14-35-58-901934,55044,0,-8,87,1235
2018-07-19-14-35-58-932746,27885,65087,-9,79,1232
2018-07-19-14-35-58-964308,62976,0,-8,80,1235
2018-07-19-14-35-58-980054,13,46,-4,81,1235
2018-07-19-14-35-59-010854,8,49,-13,84,1228
2018-07-19-14-35-59-042095,9,50,-7,84,1235
2018-07-19-14-35-59-058213,9,45,-8,83,1223
2018-07-19-14-35-59-089291,12,44,-10,83,1240
2018-07-19-14-35-59-120465,6,47,-7,81,1233
2018-07-19-14-35-59-136207,7,50,-9,83,1227
2018-07-19-14-35-59-167066,8,49,-4,81,1238
2018-07-19-14-35-59-198571,14,48,-8,83,1235
2018-07-19-14-35-59-229842,9,52,-10,84,1239
2018-07-19-14-35-59-260802,6,47,-10,83,1235
2018-07-19-14-35-59-276414,5,51,-4,81,1239
2018-07-19-14-35-59-307657,9,51,-8,87,1238
2018-07-19-14-35-59-339262,11,50,-9,87,1240
2018-07-19-14-35-59-354523,12,49,-7,80,1232
2018-07-19-14-35-59-385763,5,50,-8,88,1235
2018-07-19-14-35-59-417046,22409,65087,-15,83,1230
2018-07-19-14-35-59-433152,256,0,-10,81,1231
2018-07-19-14-35-59-448284,54020,0,-8,80,1233
2018-07-19-14-35-59-479490,27885,65087,-8,83,1236
2018-07-19-14-35-59-495150,61696,0,-8,78,1225
2018-07-19-14-35-59-526379,10,48,-5,79,1247
2018-07-19-14-35-59-557599,8,50,-8,87,1232
2018-07-19-14-35-59-573218,10,48,-8,80,1235
2018-07-19-14-35-59-604460,8,51,-8,83,1235
2018-07-19-14-35-59-620113,8,47,-4,79,1240
2018-07-19-14-35-59-651356,10,47,-13,87,1232
2018-07-19-14-35-59-666974,7,49,-8,83,1236
2018-07-19-14-35-59-698214,13,51,-8,87,1235
2018-07-19-14-35-59-729434,4,50,-8,81,1238
2018-07-19-14-35-59-745082,9,48,-7,83,1238
2018-07-19-14-35-59-776294,12,50,-7,80,1247
2018-07-19-14-35-59-791916,11,49,-9,83,1238
2018-07-19-14-35-59-823198,8,49,-8,84,1240
2018-07-19-14-35-59-838805,7,51,-8,86,1238
2018-07-19-14-35-59-870048,6,53,-8,88,1239
2018-07-19-14-35-59-885647,8,48,-9,83,1238
2018-07-19-14-35-59-916887,256,0,-10,83,1235
2018-07-19-14-35-59-932508,54788,0,-9,86,1239
2018-07-19-14-35-59-963753,27885,65087,-8,86,1240
2018-07-19-14-35-59-979398,62464,0,-9,81,1239
2018-07-19-14-36-00-010614,10,52,-12,83,1239
2018-07-19-14-36-00-026238,8,52,-9,83,1238
2018-07-19-14-36-00-058798,8,50,-5,86,1235
2018-07-19-14-36-00-088760,10,45,-8,81,1232
2018-07-19-14-36-00-104344,12,48,-10,83,1238
2018-07-19-14-36-00-119964,8,52,-4,83,1244
2018-07-19-14-36-00-151220,9,50,-8,88,1239
2018-07-19-14-36-00-166859,7,47,-9,83,1235
2018-07-19-14-36-00-198070,7,50,-9,83,1233
2018-07-19-14-36-00-229313,13,51,-4,78,1231
2018-07-19-14-36-00-260556,7,49,-8,80,1235
2018-07-19-14-36-00-276177,8,48,-9,88,1231
2018-07-19-14-36-00-307458,8,51,-9,83,1230
2018-07-19-14-36-00-323042,8,49,-7,81,1239
2018-07-19-14-36-00-354285,11,48,-10,87,1235
2018-07-19-14-36-00-369935,10,46,-8,80,1235
2018-07-19-14-36-00-401150,256,0,-8,81,1232
2018-07-19-14-36-00-432432,54020,0,-9,88,1233
2018-07-19-14-36-00-448013,27885,65087,-10,80,1225
2018-07-19-14-36-00-479254,63488,0,-9,83,1241
2018-07-19-14-36-00-494878,6,51,-8,83,1238
2018-07-19-14-36-00-526120,7,48,-13,80,1231
2018-07-19-14-36-00-541738,13,50,-10,86,1232
2018-07-19-14-36-00-572983,8,49,-9,80,1241
2018-07-19-14-36-00-588634,6,49,-8,83,1241
2018-07-19-14-36-00-619876,8,49,-8,83,1238
2018-07-19-14-36-00-635496,5,51,-9,88,1244
2018-07-19-14-36-00-651113,11,49,-12,87,1231
2018-07-19-14-36-00-682332,9,51,-8,83,1232
2018-07-19-14-36-00-713603,7,49,-7,79,1238
2018-07-19-14-36-00-744817,5,47,-8,86,1231
2018-07-19-14-36-00-776061,11,48,-8,83,1240
2018-07-19-14-36-00-791680,6,49,-8,87,1232
2018-07-19-14-36-00-822960,5,48,-8,83,1238
2018-07-19-14-36-00-854169,7,48,-13,87,1233
2018-07-19-14-36-00-869788,10,45,-8,83,1238
2018-07-19-14-36-00-901042,6,51,-9,87,1233
2018-07-19-14-36-00-932390,0,0,-9,83,1236
2018-07-19-14-36-00-948009,1792,0,-12,86,1233
2018-07-19-14-36-00-979558,22409,65087,-10,83,1225
2018-07-19-14-36-01-010708,256,0,-9,87,1227
2018-07-19-14-36-01-041653,53508,0,-10,79,1252
2018-07-19-14-36-01-057661,27885,65087,-7,81,1238
2018-07-19-14-36-01-088821,63232,0,-15,88,1231
2018-07-19-14-36-01-119757,6,51,-9,87,1232
2018-07-19-14-36-01-135758,12,48,-8,87,1244
2018-07-19-14-36-01-166630,7,47,-8,83,1240
2018-07-19-14-36-01-182473,11,48,-4,88,1235
2018-07-19-14-36-01-213882,11,51,-8,84,1240
2018-07-19-14-36-01-229542,8,49,-10,83,1239
2018-07-19-14-36-01-260321,9,47,-9,87,1235
2018-07-19-14-36-01-291564,7,48,-8,80,1244
2018-07-19-14-36-01-322806,10,51,-8,87,1240
2018-07-19-14-36-01-354270,9,49,-7,81,1244
2018-07-19-14-36-01-369669,7,48,-4,87,1240
2018-07-19-14-36-01-400912,11,50,-10,83,1235
2018-07-19-14-36-01-432394,7,53,-13,87,1244
2018-07-19-14-36-01-448035,8,47,-8,83,1235
2018-07-19-14-36-01-479421,10,43,-12,83,1238
2018-07-19-14-36-01-557566,9,47,-9,80,1235
2018-07-19-14-36-01-588369,9,50,-8,87,1231
2018-07-19-14-36-01-619614,10,48,-7,81,1231
2018-07-19-14-36-01-635235,7,47,-9,83,1240
2018-07-19-14-36-01-666474,9,47,-9,84,1233
2018-07-19-14-36-01-697718,9,49,-9,80,1231
2018-07-19-14-36-01-713339,13,49,-8,80,1235
2018-07-19-14-36-01-744583,8,45,-8,81,1232
2018-07-19-14-36-01-760210,9,53,-8,86,1239
2018-07-19-14-36-01-791475,14,53,-8,81,1238
2018-07-19-14-36-01-807486,6,47,-12,84,1235
2018-07-19-14-36-01-838312,10,48,-8,86,1239
2018-07-19-14-36-01-869551,10,47,-8,83,1238
2018-07-19-14-36-01-901029,8,47,-9,83,1238
2018-07-19-14-36-01-916437,7,50,-8,83,1235
2018-07-19-14-36-01-947660,8,51,-8,79,1241
2018-07-19-14-36-01-963495,7,50,-7,87,1238
2018-07-19-14-36-01-994525,8,48,-4,86,1228
2018-07-19-14-36-02-010600,14,48,-12,86,1235
2018-07-19-14-36-02-041634,9,48,-8,83,1239
2018-07-19-14-36-02-072849,256,0,-8,81,1244
2018-07-19-14-36-02-088251,55044,0,-13,88,1231
2018-07-19-14-36-02-119491,27885,65087,-8,86,1239
2018-07-19-14-36-02-135153,63488,0,-8,84,1235
2018-07-19-14-36-02-150736,3,51,-8,83,1235
2018-07-19-14-36-02-182021,10,47,-8,86,1230
2018-07-19-14-36-02-197639,11,49,6,79,1231
2018-07-19-14-36-02-228880,9,50,-8,79,1240
2018-07-19-14-36-02-244462,9,50,-10,84,1235
2018-07-19-14-36-02-275752,9,50,-8,89,1223
2018-07-19-14-36-02-291364,6,47,-8,83,1235
2018-07-19-14-36-02-322594,7,47,-8,83,1239
2018-07-19-14-36-02-353812,4,48,-8,86,1239
2018-07-19-14-36-02-385055,12,48,-8,83,1235
2018-07-19-14-36-02-400712,8,46,-13,83,1233
2018-07-19-14-36-02-431922,9,49,-12,84,1240
2018-07-19-14-36-02-463860,10,50,-8,83,1239
2018-07-19-14-36-02-494406,6,50,-8,87,1232
2018-07-19-14-36-02-510026,8,45,-5,86,1233
2018-07-19-14-36-02-541268,11,48,-8,86,1238
2018-07-19-14-36-02-556890,256,0,-10,83,1231
2018-07-19-14-36-02-588133,54788,0,-12,81,1239
2018-07-19-14-36-02-603752,27885,65087,-5,79,1239
2018-07-19-14-36-02-635020,62976,0,-13,88,1239
2018-07-19-14-36-02-650658,11,50,-8,83,1228
2018-07-19-14-36-02-681861,10,44,-8,87,1244
2018-07-19-14-36-02-697511,15,46,-7,79,1231
2018-07-19-14-36-02-728724,11,48,-12,83,1238
2018-07-19-14-36-02-744349,4,50,-9,83,1235
2018-07-19-14-36-02-775589,8,51,-8,86,1235
2018-07-19-14-36-02-791211,6,47,-2,83,1240
2018-07-19-14-36-02-822452,9,47,-8,79,1238
2018-07-19-14-36-02-853692,8,50,-8,78,1233
2018-07-19-14-36-02-869315,11,47,-8,83,1240
2018-07-19-14-36-02-900557,6,50,-4,83,1235
2018-07-19-14-36-02-931800,13,51,-8,88,1240
2018-07-19-14-36-02-947420,10,47,-9,83,1238
2018-07-19-14-36-02-963043,8,52,-10,86,1235
2018-07-19-14-36-02-994285,5,47,-4,83,1228
2018-07-19-14-36-03-009906,11,47,-9,86,1233
2018-07-19-14-36-03-041148,53508,0,-8,83,1235
2018-07-19-14-36-03-056810,27885,65087,-8,86,1238
2018-07-19-14-36-03-089473,62208,0,-9,86,1238
2018-07-19-14-36-03-119294,8,48,-13,81,1241
2018-07-19-14-36-03-134878,9,48,-5,80,1240
2018-07-19-14-36-03-166146,10,48,-8,87,1238
2018-07-19-14-36-03-181740,6,50,-8,83,1233
2018-07-19-14-36-03-197362,6,50,-9,80,1236
2018-07-19-14-36-03-228605,8,53,-7,84,1233
2018-07-19-14-36-03-259846,14,46,-7,87,1235
2018-07-19-14-36-03-275506,11,50,-12,88,1235
2018-07-19-14-36-03-337954,11,51,-13,81,1244
2018-07-19-14-36-03-353575,8,54,-9,79,1235
2018-07-19-14-36-03-384843,7,49,-4,86,1243
2018-07-19-14-36-03-400477,10,51,-8,83,1238
2018-07-19-14-36-03-431706,8,55,-8,87,1232
2018-07-19-14-36-03-462924,11,47,-15,83,1239
2018-07-19-14-36-03-556655,10,50,-4,88,1243
