time,ir,red,x,y,z
2018-07-19-14-36-03-666001,8,47,-8,81,1232
2018-07-19-14-36-03-744108,10,49,-9,84,1238
2018-07-19-14-36-03-884700,8,49,-8,88,1244
2018-07-19-14-36-04-056534,10,51,-9,81,1231
2018-07-19-14-36-04-197127,13,46,-8,83,1233
2018-07-19-14-36-04-243992,8,48,-8,83,1231
2018-07-19-14-36-04-259612,9,49,-5,86,1235
2018-07-19-14-36-04-306475,7,45,-8,84,1235
2018-07-19-14-36-04-337720,9,53,-7,79,1238
2018-07-19-14-36-04-353341,8,49,-10,86,1230
2018-07-19-14-36-04-384583,11,47,-8,83,1235
2018-07-19-14-36-04-400203,11,47,-8,86,1231
2018-07-19-14-36-04-431446,2,52,-9,81,1232
2018-07-19-14-36-04-447066,2,46,-8,81,1232
2018-07-19-14-36-04-462688,11,44,-8,83,1246
2018-07-19-14-36-04-509559,13,48,-10,83,1235
2018-07-19-14-36-04-525254,11,51,-8,81,1238
2018-07-19-14-36-04-556493,10,45,-4,81,1235
2018-07-19-14-36-04-572043,10,46,-13,86,1232
2018-07-19-14-36-04-603287,10,47,-9,83,1232
2018-07-19-14-36-04-634557,11,50,-8,86,1240
2018-07-19-14-36-04-650186,12,50,-8,83,1239
2018-07-19-14-36-04-681470,7,50,-8,83,1244
2018-07-19-14-36-04-712690,22409,65087,-10,83,1238
2018-07-19-14-36-04-728330,256,0,-4,87,1243
2018-07-19-14-36-04-759501,56324,0,-8,84,1235
2018-07-19-14-36-04-790735,27885,65087,-8,83,1235
2018-07-19-14-36-04-821977,62976,0,-13,86,1233
2018-07-19-14-36-04-837600,10,48,-4,87,1233
2018-07-19-14-36-04-868843,13,47,-12,87,1240
2018-07-19-14-36-04-900085,7,53,-10,86,1240
2018-07-19-14-36-04-915713,6,46,-1,76,1235
2018-07-19-14-36-04-947006,8,50,-13,80,1232
2018-07-19-14-36-04-978194,10,49,-2,79,1231
2018-07-19-14-36-04-994035,11,51,-7,86,1236
2018-07-19-14-36-05-025062,7,47,-8,79,1232
2018-07-19-14-36-05-056330,9,50,-7,81,1235
2018-07-19-14-36-05-071925,3,45,-8,81,1231
2018-07-19-14-36-05-103202,5,53,-8,83,1232
2018-07-19-14-36-05-134448,8,49,-7,86,1231
2018-07-19-14-36-05-165722,6,48,-8,84,1239
2018-07-19-14-36-05-181334,8,48,-13,83,1225
2018-07-19-14-36-05-212518,10,48,-8,79,1235
2018-07-19-14-36-05-228302,8,51,-4,79,1235
2018-07-19-14-36-05-259377,22409,65087,-9,83,1231
2018-07-19-14-36-05-274996,256,0,-5,87,1238
2018-07-19-14-36-05-306238,54020,0,-4,86,1238
2018-07-19-14-36-05-322096,27885,65087,-8,83,1244
2018-07-19-14-36-05-353348,62976,0,-7,79,1239
2018-07-19-14-36-05-384565,7,48,-8,80,1231
2018-07-19-14-36-05-400207,13,47,-8,79,1233
2018-07-19-14-36-05-431378,9,52,-9,83,1239
2018-07-19-14-36-05-447308,11,50,-9,81,1232
2018-07-19-14-36-05-478075,10,53,-8,80,1238
2018-07-19-14-36-05-493734,9,46,-8,83,1232
2018-07-19-14-36-05-524937,9,47,-8,87,1232
2018-07-19-14-36-05-540559,8,47,-7,79,1240
2018-07-19-14-36-05-571812,5,51,-7,81,1238
2018-07-19-14-36-05-603044,10,49,-13,80,1240
